account,Extreme Fear,Fear,Neutral,Greed,Extreme Greed,total_pnl
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,16909.637305,46280.907672,281022.725092,796729.168177,1002440.159443,2143382.597689
0x083384f897ee0f19899168e3b1bec365f52a9012,124769.221441,893370.500517,201293.606478,421078.82744699996,-40282.335904,1600229.819979
0xbaaaf6571ab7d571043ff1e313a9609a10637864,496871.394625,420910.496136,22375.382681,6.5327779999999995,0.0,940163.80622
0x513b8629fe877bb581bf244e326a047b249c4ff1,-28938.914978,366582.11644899996,357052.317262,145727.036483,0.0,840422.555216
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,33826.485832,52862.432119,25506.918905,243433.568947,480451.147274,836080.553077
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,240498.365936,213758.348688,103788.730151,106782.821686,12918.784182000001,677747.0506429999
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,33980.0,-58219.752261,0.0,453595.31817600003,0.0,429355.56591500004
0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,5615.052102,141078.42309,145563.448374,124284.948775,416541.87234099995
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,178580.07975,160308.127991,0.0,63549.71113,573.585288,403011.504159
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,21829.577575,51860.545852,-32.80710600000053,85216.946133,220221.144257,379095.406711
0x4f93fead39b70a1824f981a54d4e55b278e9f760,76007.596882,-2869.211069999999,80044.09167,28943.361154,126850.03108,308975.869716
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,6565.2805279999975,264085.530618,27157.90642,-95142.496283,17852.84057,220519.06185300002
0x420ab45e0bd8863569a5efbb9c05d91f40624641,18182.066574,113819.121858,51401.83571,12082.95,4019.61859,199505.59273200002
0x2c229d22b100a7beb69122eed721cee9b24011dd,11694.399820999999,4988.108891,41004.772923,20111.036077,90859.687282,168658.004994
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-11258.263949,-236.73088700000022,5164.944541,32824.976493,105969.888356,132464.81455399998
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,1904.83825,1521.1227,-621.54506,60254.251561,63520.274683,126578.942134
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2037.258612,2040.359057,1258.120923,30203.401038,73192.077142,108731.21677199999
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,1011.258943,15409.985569,18629.928513,23460.454449,47791.247782,106302.875256
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-13969.66896,7870.025837,6056.644275,39203.410533,64183.304476,103343.71616099999
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-1273.851285,-16407.110936,-53.631353999999995,47530.738837,43050.33901,72846.484272
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,6238.320485,2513.430964,0.0,38168.35486,20925.513222,67845.619531
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-4825.496358,-106.21056200000001,13437.732115,56995.915035,11.717676000000012,65513.657906
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,110.553364,4256.559309,8019.163096,4239.816383,36870.155091,53496.247243000005
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-4235.153050999999,5162.032749,-18746.471675,33561.048621,32143.86387,47885.32051400001
0x8477e447846c758f5a675856001ea72298fd9cb5,1604.358631,8184.747075,-9117.592574,-14672.909063,57918.404907,43917.008976
0xb899e522b5715391ae1d4f137653e7906c5e2115,-36801.03138,60812.016703,-1522.4845020000002,0.0,0.0,22488.500821
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,0.0,14151.702934,7548.683579,43.2005,15.24474,21758.831753
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,3404.747492,3762.8169589999998,-303.24597800000004,6775.291988000001,1260.832586,14900.443047
0x39cef799f8b69da1995852eea189df24eb5cae3c,-91807.672651,73584.568285,7681.878582,10591.760255,14406.384865,14456.919336
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-56967.825773000004,-467.058896,-1228.907104,-3554.792704,31014.984491,-31203.599986000005
0x271b280974205ca63b716753467d5a371de622ab,29075.959998,17752.835404,-122146.57665999999,3088.4297250000004,1793.1602149999999,-70436.191318
0x8170715b3b381dffb7062c0298972d4727a0a63b,17310.453573,134858.684498,56274.237703,-356928.587274,-19135.913281,-167621.12478100002
