account,sentiment_corr,total_pnl,n_days
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,0.468410115309609,67845.619531,14
0x6d6a4b953f202f8df5bed40692e7fd865318264a,0.4558305046814935,108731.216772,45
0x430f09841d65beb3f27765503d0f850b8bce7713,0.4217850040689829,416541.872341,30
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,0.40424938263826476,47885.320514,54
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,0.39446900671448965,103343.71616099999,147
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,0.3811294426258687,429355.565915,19
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,0.35113046990836316,132464.81455399998,164
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,0.3468589320142777,72846.484272,38
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,0.3289729844916868,106302.875256,64
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,0.2918504583448492,836080.5530770001,130
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.2428371626487338,-31203.599985999997,44
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,0.22523653435961752,379095.406711,149
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,0.2186491849102031,126578.942134,20
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.1571885113288025,2143382.597689,258
0x39cef799f8b69da1995852eea189df24eb5cae3c,0.14972650936605625,14456.919335999977,46
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,0.11409252439814067,65513.65790600001,50
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,0.10897376630737464,53496.247243,28
0x8477e447846c758f5a675856001ea72298fd9cb5,0.06889720185548164,43917.00897600001,176
0x513b8629fe877bb581bf244e326a047b249c4ff1,0.0648856784430229,840422.5552159998,39
0x2c229d22b100a7beb69122eed721cee9b24011dd,0.04992589834053339,168658.004994,66
0xb899e522b5715391ae1d4f137653e7906c5e2115,0.0031615893217966586,22488.500821,34
0x4f93fead39b70a1824f981a54d4e55b278e9f760,-0.038572534716750456,308975.86971600004,325
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,-0.06722847113990522,220519.06185300005,67
0x271b280974205ca63b716753467d5a371de622ab,-0.07697959090568415,-70436.191318,12
0x8170715b3b381dffb7062c0298972d4727a0a63b,-0.1920970232140325,-167621.124781,92
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,-0.21751395137713925,677747.0506429999,55
0xbaaaf6571ab7d571043ff1e313a9609a10637864,-0.233221391587993,940163.80622,28
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,-0.24318194930466602,14900.443047,26
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,-0.29699811403560883,21758.831753,21
0x083384f897ee0f19899168e3b1bec365f52a9012,-0.3132247238807005,1600229.819979,23
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,-0.3804684701774139,403011.504159,57
0x420ab45e0bd8863569a5efbb9c05d91f40624641,-0.44121536963557406,199505.592732,22
