date,daily_pnl,daily_volume,daily_trades,sentiment_value,sentiment
2023-04-30,0.0,477.0,3,60,Greed
2023-12-04,0.0,50005.83,9,74,Greed
2023-12-13,-281.80463900000007,50778.4,3,65,Greed
2023-12-14,51.737868,73034.9,10,72,Greed
2023-12-16,329.708097,92173.07,11,67,Greed
2023-12-17,-24.725312,39453.72,6,73,Greed
2023-12-18,0.0,31164.179999999997,2,65,Greed
2023-12-19,1062.278674,172916.63,25,73,Greed
2023-12-20,230.269674,143462.09,41,74,Greed
2023-12-21,407.933948,71631.64,21,70,Greed
2023-12-22,288.769379,137775.34,18,74,Greed
2023-12-23,891.334604,302905.96,35,70,Greed
2023-12-24,-127.79599599999999,159997.49,7,71,Greed
2023-12-26,790.0414470000001,51166.14,9,71,Greed
2023-12-27,-1494.930674,120244.92,19,73,Greed
2023-12-28,-818.801864,201627.81,40,73,Greed
2023-12-29,630.420437,969492.71,71,65,Greed
2023-12-30,81.57134199999999,201106.66,14,68,Greed
2023-12-31,0.0,101356.87999999999,8,67,Greed
2024-01-01,-382.32568100000003,275179.05,19,65,Greed
2024-01-02,1020.480503,127005.88,36,71,Greed
2024-01-03,814.704701,376338.36,44,70,Greed
2024-01-04,285.107453,100688.88,3,68,Greed
2024-01-05,14.615776000000047,1901775.18,85,72,Greed
2024-01-06,-453.558516,239799.59,24,70,Greed
2024-01-07,-589.5193899999999,1526372.3699999999,145,71,Greed
2024-01-08,341.160131,1277228.1099999999,105,71,Greed
2024-01-09,-3736.6645829999998,2334939.83,199,76,Extreme Greed
2024-01-10,1032.966932,220344.81,23,73,Greed
2024-01-11,-342.985034,355317.54,18,76,Extreme Greed
2024-01-12,-1790.004944,50228.060000000005,2,71,Greed
2024-01-15,1092.482122,103581.34999999999,17,52,Neutral
2024-01-16,-3198.1815779999997,163397.73,9,64,Greed
2024-01-17,772.655689,900935.01,85,60,Greed
2024-01-18,-316.28204500000004,649513.66,48,63,Greed
2024-01-19,-271.39869000000004,868486.3,92,51,Neutral
2024-01-20,391.200966,308261.16000000003,36,52,Neutral
2024-01-21,208.727551,112927.7,34,56,Greed
2024-01-22,1166.9134080000001,224951.29,51,55,Greed
2024-01-23,-3002.84111,1079774.94,86,50,Neutral
2024-01-24,-174.75743500000002,299828.58,27,48,Neutral
2024-01-25,-3003.429385,78339.34,11,52,Neutral
2024-01-28,-1993.222618,430248.35,83,54,Neutral
2024-01-29,-36.269769,202288.64,23,55,Greed
2024-01-30,-935.5097989999999,6506438.73,887,61,Greed
2024-01-31,0.0,2008.18,6,60,Greed
2024-02-01,51.71156399999999,371749.83,28,63,Greed
2024-02-02,398.834586,403191.11,43,63,Greed
2024-02-03,276.81040499999995,505845.04,56,60,Greed
2024-02-04,22.382425999999974,570622.28,67,60,Greed
2024-02-05,-338.450977,4493572.91,605,60,Greed
2024-02-06,308.24057,3757415.2,499,64,Greed
2024-02-07,0.0,2999.9900000000002,10,62,Greed
2024-02-08,770.756024,26051.12,10,66,Greed
2024-02-11,983.443176,212311.82,34,71,Greed
2024-02-12,913.8817869999998,227247.69999999998,16,70,Greed
2024-02-13,750.740554,104701.17,37,79,Extreme Greed
2024-02-14,3755.331389,228358.36000000002,91,74,Greed
2024-02-15,2058.794457,217401.4,88,72,Greed
2024-02-16,5516.133391,656355.15,172,72,Greed
2024-02-17,1896.692243,307808.81,78,76,Extreme Greed
2024-02-18,152.18482999999986,146471.34,98,72,Greed
2024-02-19,4653.534467,266952.16,106,75,Extreme Greed
2024-02-20,2927.86292,123844.79000000001,32,72,Greed
2024-02-21,4665.31235,281514.44,77,78,Extreme Greed
2024-02-22,2506.14422,300667.49,175,74,Greed
2024-02-25,-30.7705,4480.13,5,74,Greed
2024-02-26,4416.8473,193187.11000000002,40,72,Greed
2024-02-27,1218.283893,227813.08000000002,69,79,Extreme Greed
2024-02-28,6697.596123,405374.83999999997,87,82,Extreme Greed
2024-02-29,8514.226523,345658.52,129,80,Extreme Greed
2024-03-01,5136.7410629999995,326136.07,100,80,Extreme Greed
2024-03-02,114.550367,6325.9400000000005,6,80,Extreme Greed
2024-03-03,8361.100415,390940.36,95,83,Extreme Greed
2024-03-04,34033.091237,1843868.1,360,82,Extreme Greed
2024-03-05,17943.899482,804714.63,167,90,Extreme Greed
2024-03-06,2428.622033,98247.8,19,75,Extreme Greed
2024-03-07,103.028932,5441.33,14,82,Extreme Greed
2024-03-08,5304.005241,240938.57,66,81,Extreme Greed
2024-03-09,12083.821487,743982.7,135,84,Extreme Greed
2024-03-10,-786.5406,71373.18000000001,11,79,Extreme Greed
2024-03-11,3588.179495,176519.44999999998,42,82,Extreme Greed
2024-03-12,3039.166,103040.85,8,81,Extreme Greed
2024-03-13,65.480454,12067.08,8,81,Extreme Greed
2024-03-14,7398.820138,421825.97,52,88,Extreme Greed
2024-03-15,2238.078891,139935.34,29,83,Extreme Greed
2024-03-16,228.57984,61550.64,13,81,Extreme Greed
2024-03-17,715.613255,70394.44,17,79,Extreme Greed
2024-03-18,1244.6384,92744.81,23,77,Extreme Greed
2024-03-19,5762.903096,391753.71,83,79,Extreme Greed
2024-03-20,3664.537551,154231.35,33,74,Greed
2024-03-23,1297.018477,92592.20999999999,19,73,Greed
2024-03-25,2460.1937080000002,129660.08,38,75,Extreme Greed
2024-03-26,2115.794433,153131.32,99,81,Extreme Greed
2024-03-27,93.24602,72754.9,26,83,Extreme Greed
2024-03-28,1110.948412,92236.7,20,80,Extreme Greed
2024-03-29,0.0,30001.39,8,79,Extreme Greed
2024-03-30,1100.57514,101103.92,45,75,Extreme Greed
2024-03-31,913.627084,75909.42,22,75,Extreme Greed
2024-04-01,2773.532459,420732.95,78,79,Extreme Greed
2024-04-02,617.35082,122405.57,31,79,Extreme Greed
2024-04-03,126.7884,37887.72,7,71,Greed
2024-04-04,965.5522159999999,100952.66,37,70,Greed
2024-04-05,9740.93209,477826.72,92,79,Extreme Greed
2024-04-06,236.33513399999998,68223.67,16,75,Extreme Greed
2024-04-07,0.0,49988.14,23,78,Extreme Greed
2024-04-08,1218.4267,211940.64,30,76,Extreme Greed
2024-04-09,0.0,57063.840000000004,3,80,Extreme Greed
2024-04-10,5207.443414,363737.11,47,78,Extreme Greed
2024-04-11,389.743164,64399.82,10,76,Extreme Greed
2024-04-12,4960.4749249999995,791685.69,184,79,Extreme Greed
2024-04-13,-35458.224649,706182.29,107,72,Greed
2024-04-14,1733.90606,171104.12,48,72,Greed
2024-04-15,3631.10099,288633.63,58,74,Greed
2024-04-16,1299.327011,103074.64,16,65,Greed
2024-04-17,2441.4683999999997,97562.99,14,67,Greed
2024-04-18,1509.898976,291817.74,27,57,Greed
2024-04-19,436.546486,45440.18000000001,8,66,Greed
2024-04-20,0.0,60733.24,22,66,Greed
2024-04-21,0.0,14998.2,3,72,Greed
2024-04-22,0.0,50992.64,10,73,Greed
2024-04-23,1119.536196,227057.57,64,71,Greed
2024-04-24,279.185907,173251.09,21,72,Greed
2024-04-25,0.0,76265.26,71,72,Greed
2024-04-26,0.0,4988.290000000001,3,70,Greed
2024-04-27,4281.488139,159261.66999999998,39,67,Greed
2024-04-28,0.0,58208.52,67,65,Greed
2024-04-29,526.9338359999999,89478.89,24,67,Greed
2024-04-30,0.0,182033.11000000002,33,67,Greed
2024-05-01,0.0,30011.09,5,54,Neutral
2024-05-03,5306.017045,315672.05,38,48,Neutral
2024-05-04,0.0,26009.35,7,67,Greed
2024-05-05,0.916,24068.350000000002,6,69,Greed
2024-05-06,968.59038,206016.43,9,71,Greed
2024-05-07,883.537693,135549.83000000002,22,68,Greed
2024-05-08,1.56576,90142.95,18,64,Greed
2024-05-09,1147.595856,203955.13,25,55,Greed
2024-05-10,2101.741695,123891.36,16,66,Greed
2024-05-11,251.604742,86446.93,22,53,Neutral
2024-05-12,0.0,31981.58,10,56,Greed
2024-05-13,2136.853859,193118.9,28,57,Greed
2024-05-14,1150.5233050000002,145853.4,23,66,Greed
2024-05-15,948.970582,271758.18,49,64,Greed
2024-05-16,214.5898,125785.35,14,70,Greed
2024-05-18,3522.3946610000003,126303.14,25,73,Greed
2024-05-19,-74.818442,50123.350000000006,13,72,Greed
2024-05-20,7289.397571999999,938921.48,103,70,Greed
2024-05-21,0.0,180026.6,27,76,Extreme Greed
2024-05-22,0.0,44995.29,6,76,Extreme Greed
2024-05-23,1235.296607,452662.5,327,76,Extreme Greed
2024-05-24,0.0,25007.149999999998,2,74,Greed
2024-05-25,14.126038999999999,5483.86,15,76,Extreme Greed
2024-05-26,876.4585850000001,69707.13,48,75,Extreme Greed
2024-05-27,1031.581185,134885.38,218,74,Greed
2024-05-28,84.807008,8781.34,13,72,Greed
2024-05-29,201.681118,76228.23,154,72,Greed
2024-05-30,18.623306,3531.98,9,73,Greed
2024-05-31,18.990074,2701.22,9,73,Greed
2024-06-01,105.442494,15648.53,29,72,Greed
2024-06-02,263.886914,34342.26,126,73,Greed
2024-06-03,477.896166,13275.42,32,73,Greed
2024-06-04,52.211438,25355.0,54,73,Greed
2024-06-05,56.055506,24239.18,53,75,Extreme Greed
2024-06-06,274.173187,333263.38,261,78,Extreme Greed
2024-06-07,9031.606255,967236.96,440,77,Extreme Greed
2024-06-08,0.0,32998.06,2,72,Greed
2024-06-09,0.04285,22610.03,19,75,Extreme Greed
2024-06-10,31.223955,48321.3,74,72,Greed
2024-06-11,4320.631811,372867.71,137,74,Greed
2024-06-12,-20931.146553,242842.81,220,72,Greed
2024-06-13,5677.372175,81621.4,76,70,Greed
2024-06-14,10258.592609,139868.66,31,74,Greed
2024-06-15,3369.958346,718350.25,78,74,Greed
2024-06-16,1268.7590360000002,152716.94,18,71,Greed
2024-06-17,9613.319699,266197.77,35,71,Greed
2024-06-18,127.77326,264153.69,48,74,Greed
2024-06-19,4759.883684,399418.39999999997,61,64,Greed
2024-06-20,58252.01423,248710.03,64,60,Greed
2024-06-21,756.876565,220859.03,39,63,Greed
2024-06-22,0.0,76092.48,14,53,Neutral
2024-06-23,0.0,122492.11000000002,14,55,Greed
2024-06-24,4869.353105,367628.14999999997,43,51,Neutral
2024-06-25,4197.732182,354671.57,54,30,Fear
